chunk_text,frame_name
"Lastly, Nessie has been found, but I am sorry to disappoint the House: it is not the fabled monster of lore but a hollowed-out old wreck that has been stuck in the deep for decades.",None
"In his document published yesterday, the Chancellor posed the question:

“Is our national security best served by retreating from the world?”

I hope that he is not foolish enough to suggest that those of us who wish the United Kingdom to leave the European Union want to retreat from the world, because the truth is far from that. We want the United Kingdom to break free from the sclerotic shackles of the EU and its superstate, and embrace the exciting world out there that befits the world’s fifth largest economy, a nuclear power, and a permanent member of the United Nations Security Council.",Conflict
"May I ask my right hon. Friend whether he agrees with the Treasury forecast issued on Monday, which warns that if we stay in the European Union, there will be 3 million more migrants by 2030? Last year, my right hon. Friend and I were elected on a clear manifesto pledge to reduce net migration to the tens of thousands. How will we be able to deliver on that pledge unless we leave the European Union",Powerlessness
"The provision on check-off is another useless piece of legislation, because many councils and organisations already choose to levy an administration fee for handling the check-off system. Again, I do not think that the provision will be very onerous on the many trade unions who already pay such a fee. As my hon. Friend the Member for York Central (Rachael Maskell) said earlier, this is a minor issue in that it does not involve a huge amount of money. If we are saying that trade unions should not be subsidised by the taxpayer in such a way, that is fine, but in many cases trade unions are already not being subsidised, so this is another provision that is not needed.",Economic
"Another issue that I have to say will probably hit the buffers in the not-too-distant future is East Anglian devolution. For those who are particularly interested in this somewhat niche subject, I have a remarkably concise and readable article in The House magazine this week on why it is a complete dog’s breakfast. I will not say any more than that, but it has the fingerprints of a well-known, prominent and recently quite noisy former Deputy Prime Minister all over it. I do not think it will work. I support the northern powerhouse and devolution for Greater Birmingham and Greater Manchester, but it just does not stack up for East Anglia. It is not wanted. It is unpopular, expensive and uncosted, and the Government should drop the plans.",Conflict
"Can the Leader of the House explain the difference—perhaps we could have a statement—between the 1975 referendum, during which Ministers disagreed without bitterness, important arguments were made and personal attacks were not made, and the present campaign, in which Cabinet and other members of the Government and their supporters have such bitterness, strife and rancour between them over the question of remain or leave? It is not very civilised and totally unlike 1975.",Conflict
"The threat posed by Daesh and its affiliates continues and has now manifested itself in attacks in European cities. The wider instability in the middle east persists, and the Israel-Palestine question is no nearer to a solution. North Korea has demonstrated its determination to flout international law by developing nuclear weapons and ballistic missiles to deliver them. Russia demonstrates the same determination through its continued destabilisation of Ukraine and its illegal occupation of Crimea. Tensions are rising in the South China sea. The migration crisis in the eastern and central Mediterranean is presenting new challenges to our near neighbours in Europe. As we approach the referendum in just over four weeks’ time, even the theoretical possibility that Britain might vote to leave the European Union is having a chilling effect on economic growth, and on business and consumer confidence. Wherever we look, our world is becoming more dangerous and uncertain.",Conflict
"I do not believe that it is a coincidence that the Foreign Secretary and his predecessor—both of whom it would be fair to describe as having been regarded as Eurosceptics—having now served in the Foreign and Commonwealth Office, are campaigning for Britain to remain in the European Union because they have seen at first hand precisely how being a member gives us influence in the world. We should therefore give thanks for the fact that this Government have not one but two departments of education in Whitehall. The first is called the Department for Education and the second is called the Foreign and Commonwealth Office. It is a shame that the Prime Minister has been unable to allow more Conservative Eurosceptics to serve in the FCO and go through its excellent retraining and conversion programme.",Conflict
"At the weekend, the Home Secretary received a letter from police representatives, faith groups and civil society organisations expressing major concerns about the proposed Bill. She cannot just ignore this and plough on regardless. The Prevent duty to report extremist behaviour is creating a feeling that the Muslim community is unfairly targeted and monitored. It is building a climate of suspicion and distrust. In my view, if the Government legislate further and extend what is perceived to be an illiberal and discriminatory approach, far from tackling extremism, they will risk creating the conditions for it to flourish.",Human Impact
"At the heart of the European Union referendum is the question of democracy and the democratic deficit. May I draw attention to the European Scrutiny Committee report that has come out this morning on the lack of a democratic system in the Council of Ministers? Voters are clamouring for facts in the referendum. Some 55% of our laws come from the European Union, the bulk of which are made by officials and nodded through by Ministers, while there is no information about how the 50% of decisions made behind closed doors are reached, according to this unanimous report by the European Scrutiny Committee. How are such decisions arrived at and at what price? Will the Deputy Leader of the House give us a debate on this matter?",Powerlessness
"The reason the SI solves the problem that was very rightly and acutely raised by my hon. Friend the Chairman of the Select Committee is that we retain the full five-day period for objections to applications, and indeed all the other aspects of the process, inside that block of time, because those relativities are not altered. I think that that is what led to the question from the right hon. Member for Carshalton and Wallington (Tom Brake) about whether we could do exactly the same thing in future now that we have discovered that it does not cause any harm at the end of the process.",None
"On the ministerial consents, we welcome the simplified system proposed in the Bill, but the Government could go further. The Welsh Affairs Committee has recommended introducing a 60-day time limit for consent to be given or refused. A change to this effect would give greater confidence and I urge the Government to consider adopting it in law.

Finally, on income tax, the current situation is that the Welsh people would have to support the devolution of income tax in a referendum before the powers could be transferred to the Assembly. This Bill removes that requirement, meaning that the Secretary of State could devolve income tax powers via an Order in Council, without the Assembly even having to agree to it. That cannot be right. Allowing the Assembly to levy taxes is a very significant constitutional development, and one which should not take place without a clear democratic decision, so we are asking the Secretary of State to consider amending the Bill to require the Assembly to agree to the devolution of tax powers before they are devolved.",Moral Value
"Globalisation is an unstoppable process. It brings many possibilities and many opportunities for our constituents and for our country, and it also brings challenges. The question for any Government, whether our Government or Governments around the world, is how to shape globalisation to serve the best interests of their people, how to mitigate its challenges and how to make the most of the possibilities. How on earth can the right answer to those questions be to say, “Stop the world—I want to get off”? Has it not been striking in the course of this debate on the economy that there has been no debate about which is the best route to achieve what I have described?",Economic
"The EU is by no means perfect—there is much that I personally do not like—but on economic grounds there is an overwhelming reason to remain within it. That is the overwhelming consensus when I talk to businesses in my constituency. I will mention a few companies I have visited that all say that we are better off in. Pritex in Wellington manufactures sound-proofing for the car industry. The chief executive heads up the Society of Motor Manufacturers and Traders, and he has categorically stressed that the car industry operates totally EU-wide; it is a £15 billion trade for the UK, so we need to remain in the EU. W. H. Hendy and Sons makes high-pressure water pumps in Wiveliscombe. That is in a rural area, but the company exports right across the EU. It goes with delegations to get contracts in other parts of the world, and it could not do that alone, so it needs us to be in Europe. That is critical for rural jobs in my constituency, which we must not put in jeopardy.",Economic
"Let us look at the car industry. If we leave, it will face tariffs of 10%. It is supposed to cope with that through labour market flexibility, which, translated into English, means wage cuts. Wages account for only a third of total costs, so people would have to take a 30% pay cut or lose their jobs. There are 450,000 jobs at risk.

The hon. Member for Uxbridge and South Ruislip (Boris Johnson) and my right hon. Friend the Member for Birmingham, Edgbaston (Ms Stuart) have visited textile factories that, outside the EU, would face a 6.5% tariff. It is hard to cut wages in such factories because the Low Pay Commission reports that most of the workers are on the minimum wage, so another 56,000 jobs are at risk, mainly in the north and the midlands. When I challenged the hon. Member for Uxbridge and South Ruislip about that, he said that

“there is no need for them to worry.”

It is all right for him: on top of his MP’s salary, he takes home another £250,000 every year for his column in The Daily Telegraph. His attitude is flippant to the point of irresponsibility, and this is not a joke.",Economic
"For once, I have great sympathy with the hon. Gentleman. That was why I chose to aim at the issue by saying that people could come here and work, but could not get full access to our welfare system for four years. That addressed the concern that his and my constituents have that there should not be something for nothing. The point that we have to understand is that European Union countries see the single market as consisting not only of the free movement of goods, people, services and capital. They see those things bound together, but they also see the single market as including the payments that countries make into the EU to strengthen the weakest members and those that have recently recovered from communism. Of course, one can try to negotiate amendments to these movements—and I did—but one has to think about that mindset as we go into the negotiation.",Economic
"Indeed, and I will come to the recovery in certain areas in just a moment. The hon. Gentleman is right when it comes to the FTSE 100, but let me come to all the other indices, and we will see the real damage and how it is being played out.

It was not simply stock prices that were affected. Sterling was trading at $1.45 before the referendum. The value of the pound against the dollar fell by almost 8% on Friday the 24th—almost twice the fall in 1992, when the UK was forced out of the exchange rate mechanism on Black Wednesday.",Economic
"The impact on car manufacturers has not been properly dealt with either. This is not simply about our opening new trade markets around the world; it is about a supply chain that is deeply embedded throughout Europe. A typical drive shaft for a family saloon car is manufactured in six different countries across Europe. What are car manufacturers to do if tariffs are applied between us and the EU? Just last evening, I was talking to a multinational retailer who had 3,000 members of staff but was moving to new premises with 5,000 members of staff. These people move from London to Frankfurt to Paris just as we would move from North Yorkshire to London, but they face the prospect of not being able to do that. How have we made this decision without talking about these issues and answering these questions?

There is an even bigger issue. Looking at the European Union in such a sensitive stage, I view it as a house of cards, and if the UK pulls our card from the bottom, there is a significant risk that the whole house will implode. A domestic economic risk then moves towards becoming an international and global economic risk, along with a political risk and a security risk. This country’s economy and our prospects for national security could be hugely affected.",Economic
"That is scaremongering in its most extreme and vile form. The leave campaign played on people’s genuine fears about poverty, unemployment and deprivation, especially in areas facing generational unemployment that have long been neglected for the past 20 to 30 years. Immigration is not the cause of social inequality, and such scaremongering does not and will not address the root causes of the problems faced by so many. It is successive Governments who have failed to deal with the issue of social and economic inequality. The gap between the rich and the poor is now even bigger, and five families in the United Kingdom own some 20% of the UK’s wealth. The issues that need to be addressed—such as eradicating poverty and providing equal opportunities—are not being tackled. Immigrants are accused of being the cause of all that and they are used as a natural target—that is what Vote Leave campaigners campaigned on.",Moral Value
"We have heard already, as we will hear again today, about the friends and family, the colleagues and the constituents from other member states who are now uncertain about their future. We have also heard, as we will hear again today, about the valued staff, the key personnel and the vital public service workers from other EU countries whose future now seems uncertain. It is utterly unacceptable to expect people to live their lives with such uncertainty. It is a disgraceful way to treat our EU citizens.

On Monday the Minister expressed genuine sympathy with many of those arguments, and it is abundantly clear from what he has said that he wants to get us to a position whereby EU citizens can and will remain in the country. Sympathy and expressions of hope, however, are not enough. Clarity and reassurance now are essential, and they can and should be delivered.

The reasons offered by the Government for refusing to provide that clarity are absurd and bizarre. On Monday the Minister was unhappy—he is unhappy again today—at the use of terms such as “bargaining chip”, but he himself said that securing the status of EU migrants in the UK, alongside that of UK citizens in the EU,

“needs to be part of the negotiations.”—[Official Report, 4 July 2016; Vol. 612, c. 616.]",Human Impact
"Two weeks ago, the British people voted to leave the European Union. I will be ensuring that food, farming and the environment have a strong voice in the exit negotiations and in establishing our new domestic policies. Until we leave the EU, it is business as usual for farmers and the environment, and I am meeting relevant organisations to assure them of that. DEFRA’s work continues: we will shortly be publishing the national flood resilience review; we will be continuing with our Great British Food campaign and our work to open up new markets; and we will be developing 14 local environment plans.",None
"Lastly, may we have a debate on the overthrow of elites, in political parties in particular? This morning I looked up the definition of coup. Apparently it is the sudden appropriation of leadership or power and its replacement by other elites within the state apparatus. Today there is almost a physical boundary on the Opposition Benches between the two sides of the Labour party—we can see the barrier there. The chicken coupers must be the most inept coupers ever: no strategy, no challenger, just spineless inertia, with the vain hope that their Front-Bench team will somehow just go. Let us have that debate and see whether they can learn from the hand of history.",Conflict
"I welcome the report, but I do get concerned when I hear Russia being spoken of in a certain fashion in the House and, critically, when we do not speak of the communities in Russia, who have to live with the daily experience of the Russian state.

It is now clear that the Russian Federation views the United Kingdom’s global strength as profoundly weakened not only by the issues raised in the Committee’s report, but by Brexit. Does the right hon. Gentleman agree that the lack of investigation by the Committee into the consequences of Brexit was an oversight and only gives succour to the idea in the Kremlin that the United Kingdom does not have a Scooby what it is doing when it comes to working with like-minded European nations to deal with the profound threats posed by the Russian Federation?",Powerlessness
"I agree with my hon. Friend on both those points: consensus is always desirable and to be sought wherever possible, and article 50 is the route for achieving Brexit. He is also right to point out that it is only the tip of a much larger iceberg; there are a whole series of other things that have to wrap around it. We have heard some of those mentioned already during this urgent question, and I suspect that we will hear more of them in due course.",None
"I, like most sensible politicians, turn to independent experts for opinions and answers to questions about complex matters such as the natural environment. My points about the circular economy have been well made by other Members, so I will skip on to my next point.

The Institution of Environmental Sciences is currently conducting a survey of its members, in which it asks:

“What impact do you think the UK’s decision to leave the EU will have on environmental protection?”

An overwhelming 81% of highly educated, experienced environmental professionals consider that

“Without binding EU law, it is likely environmental regulations will be weakened or scrapped in the UK.”",Conflict
"It is an indictment of the new Administration that the first motion in Parliament is on renewing Trident when there are so many other pressing issues facing the country in the context of Brexit. It is obscene that the priority of this Government, and, sadly, too many people on the Labour Benches, at a time of Tory austerity and economic uncertainty following the EU referendum, is to spend billions of pounds on outdated nuclear weapons that we do not want, do not need and could never use. With debt, deficit and borrowing levels forecast to get worse after Brexit, and with more than £40 billion to be cut from public services by 2020, spending £167 billion, £179 billion, or £205 billion—whatever the number is that the Government are not prepared tell us—is an outrage. The Prime Minister’s first vote is on Trident. In the current climate, that is totally wrong. It is the wrong approach to key priorities. We should be working to stabilise the economy and sorting out the chaos caused by the Brexit result.

The Prime Minister has already undermined the words of her first speech, which many people, across all parties, found important. She vowed to fight “burning injustice”, and we agree, but Trident fights no injustices. Trident is an immoral, obscene and redundant weapons system.",Economic
"We know, of course, that the leave campaign’s claim to be saving £350 million a week was entirely fictitious, but I note that the right hon. Member for South Northamptonshire (Andrea Leadsom) promised that any lost EU subsidies paid to farmers would be replaced by central Government funding, so I am sure the House would welcome a similar promise today that any lost research funding will be replaced. I look forward to hearing from the Minister about that.

Universities face the prospect of losing out across the board, so how will they fare in this post-Brexit world when the calls to curb immigration inevitably come? Universities have been warning for years that making student visas harder to come by was having a hugely damaging effect, as indeed the right hon. Member for East Devon (Mr Swire) just said. Sir Keith Burnett, vice-chancellor of the University of Sheffield, estimates that 40% of his university’s income from teaching comes from international students, and non-UK students also generate £11 billion for the wider UK economy. Almost 100,000 students had their visas cut short between 2013 and 2015, and between 2010 and 2015 the number of overseas students arriving in the UK fell by 25%.",Economic
"We need accountability for the way that money is spent within institutions. One of the advantages of putting universities back into the Department for Education is that there is now an opportunity for Ministers covering schools, colleges and universities to look together at the issues of social mobility, widening participation and fair access to universities. I am tired of the hand-wringing of university vice-chancellors and their lobbyists, who claim that it is all the schools’ fault that they cannot get poor Jimmy and Jane from the local state school into some of our academically elite universities. If it is all the school’s fault, then I have a really good idea—take all the widening participation funding from higher education and put it into schools and early years, because vice-chancellors have made a compelling case for transferring it in that way. That is not to denigrate the excellent work done by staff working on widening participation and student recruitment in institutions; they are some of the most passionate and dedicated staff in terms of changing the profile of the student body. However, there is scope to make different and better spending decisions. Universities ought to be justifying how they are spending the money and what its impact really is.",Moral Value
"That is wonderful news for Max Buxton and for colleagues in other constituencies who have similar problems, and that is the way that we work. When you—if I may use that expression, Madam Speaker—and colleagues around the House win a case for a constituent, they are also winning it for many other constituents, particularly when we help Governments of all colours to see the light and change the rules.

By working closely with people from another constituency—it happened to be Hull—I helped children in my own constituency to take up the free dental check that is there for all children. It was something that we had tried to do locally, but found that we could not do it as well as we wanted to, so we used an example of a practice called Teeth Team. Chris Groombridge and his team came to help us, and are still helping us. The moral of this story and this brief intervention is that if we continue to work together in this House, across parties, on the big issues and on the small, we can change our society and the lives of our constituents for the better.",Human Impact
"I am surprised by the right hon. Gentleman’s assertion that the mandate for Brexit is overwhelming. I remind him that 16 and 17-year-olds, whose future as European citizens will be most affected by the decision, were denied a vote. While the Secretary of State is speaking with stakeholders, what steps will he take to ensure that young people are given a voice and a say in their future?",Human Impact
"I totally support the Government’s position not to rush into triggering article 50. I welcome the Secretary of State’s comments. He knows how important access to the single market is both for our own businesses and for inward investors from growth markets such as Asia. Does my right hon. Friend agree that just as we are currently in the European Union but have various opt-outs, so in due course we shall be out of the European Union but have the ability to continue arrangements that work well for all sides, for example Europol and the European health insurance card from which so many British families benefit?",Economic
"Turning to global security, Britain remains at the heart of the fight against Daesh, and at this summit we discussed the need for robust plans to manage the threat of foreign fighters dispersing from Syria, Iraq and Libya. We called for the proper enforcement of the UN sanctions regime to limit the financing of all terrorist organisations and for more action to improve standards in aviation security, including through a UN Security Council resolution which the UK has been pursuing and which we hope will be adopted later this month. We also agreed the need to confront the ideology that underpins this terrorism. That means addressing both violent and non-violent extremism and working across borders to tackle radicalisation online.",None
"Discussions were taking place with the Irish Government, prior to the decision for us to leave the European Union, to consider how we could enhance and improve the current arrangements for the common travel area. Of course, those discussions now continue in the future against the background of the different circumstances.",None
"I will not because I have very little time.

The referendum held on 23 June was one of the biggest democratic exercises in British history. The turnout was high, at 72%, with over 33 million people participating. Over 1 million more people voted to leave than to remain. The turnout was bigger than at any general election since 1992. No single party or Prime Minister has achieved more votes in our history than did the vote to leave in June. This was a once-in-a-generation vote, and that decision must be respected. As my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) said, we now all have a duty as Members of this House to respect, and not to seek to frustrate, the will of the people of the United Kingdom. I am pleased to observe that most hon. Members who have participated today have agreed with that proposition.",Moral Value
"Is this about bargaining chips? No it is not.

I fear that SNP Members are trying to rerun the arguments of the referendum. I was with them on many of those arguments during the referendum, but I am afraid that we lost. I know that it is the ambition of SNP Members to ignore referendum results until they get them right, but speaking as a Welsh Member, I do not take that view. We must now respect the will of the British people.",Moral Value
"This is not about the allocation of staff. If I put one staff member in every region, only one will be left in Whitehall. The simple truth is that we have been around from Belfast to Blackburn to the port of Tilbury and many other places in the UK and will continue to do so throughout the process, both up until the point at which we trigger article 50 and thereafter.",None
"In a written answer to me yesterday, the Secretary of State for Wales talked about the full engagement of the devolved Administrations in Brexit negotiations. The best way to protect Wales’s interests would be to put the First Minister in the Government’s negotiating team. What good reason is there not to do so?",Powerlessness
"The Chancellor will know that West Yorkshire is the beating heart of the manufacturing economy in this country, but my manufacturing leaders, and the EEF, feel left out of the loop in relation to their future after Brexit. Can he reassure them, because they are very disturbed about the future?",Human Impact
"As the MP representing Newcastle airport, I know that the airport and the wider north-east business community welcome this decision. It enables both the safeguarding and growth of our connectivity to the UK and the rest of the world. However, given the time it has taken to arrive at this point, may I urge the Secretary of State to have some urgency in getting spades in the ground? When will we see the increased capacity and trading opportunities we vitally need in the wake of Brexit uncertainty?",Economic
"May we have a debate entitled “Project Fear” so that the Leader of the House, and the former Chancellor in particular, can reflect on the wisdom of presenting the case against leaving the European Union as a short-term apocalyptic, emergency-budgeted disaster, as opposed to concentrating on the medium-term damage that will certainly be done to this country through withdrawal from the European single marketplace? Given that the Leader of the House was up to his neck in “Project Fear”, will he give the House an assurance that never again will there be such a blatant abuse of Treasury statistics and forecasts in any future referendum that may come along?",Conflict
"My right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) and my right hon. Friend the Member for North East Bedfordshire (Alistair Burt) have a point. Irrespective of the court case, is a general debate on triggering article 50 good enough? Why should we fear a debate on a substantive motion? It would be a brave Member of Parliament who voted against the will of the people. When it comes to Brexit, the only thing to fear is fear itself—let’s get on with it.",Moral Value
"I should say at the outset that I am chairman of the all-party group on wholesale financial markets and services, and that I worked in the industry for a few years before I entered the House.

I congratulate the hon. Members for Leicester West (Liz Kendall) and for Nottingham East (Chris Leslie) on securing this incredibly important debate. We are concentrating on an industry in which we have the greatest comparative advantage. It is important for the economy not just because it means that we can help public services, but because, as the hon. Lady pointed out, it is the lifeblood of many other industries. She has set out the facts about how many people it employs. It is the largest taxpaying sector and the largest exporting sector.",Economic
"Very worryingly, earlier this week an independent report for the Scottish Parliament’s Economy Committee revealed that Edinburgh’s reliance on financial services is greater than that in any other city in Europe. Therefore, Edinburgh is at most risk of being affected if we lose the protection hon. Members have been speaking about. I pause to pay tribute to those hon. Members who secured this debate.

There are serious concerns about the potential for lost jobs and business if there is a loss of full access to the single market. Leading economists gave evidence to members of the Scottish Parliament on Tuesday on the impact that Brexit and leaving the single market would have on Scotland’s economy. Across Scotland, the financial sector directly and indirectly employs almost 200,000 people, 20,000 of whom are European Union workers. It contributes £8 billion to the economy of Scotland. In fact, Edinburgh’s economy is more reliant on financial services than London’s economy, or indeed any other city’s economy in the UK. As I said earlier, if we look at Edinburgh’s share of financial services, we see that it is markedly ahead of most large European cities.",Economic
"Turning to the approach that the Secretary of State has set out, it is clear that the Government intend to appeal last week’s ruling. Clearly, legally, they are entitled to do so, but would it not be better for the Government to stand back and ask whether it is right to continue with the approach they are taking? No one expects the Government to reveal the detail of their negotiating hand, but there are big headline issues that matter to everyone in every part of the UK. What relationship with the single market are the Government aiming for? What is the opening stance on the customs union? How do the Government envisage our future co-operation with EU partners in combating terrorism and serious crime? Do the Government have a plan for transitional arrangements in March 2019? These basic questions require clear answers.",None
"The hon. and learned Gentleman suggests that his party respects the referendum result and is not seeking to undermine the decision of the British people, but I have to say that the approach being taken by certain Opposition Members rather gives the game away. The shadow Foreign Secretary, the hon. Member for Islington South and Finsbury (Emily Thornberry), has declared that what the referendum result—the biggest democratic mandate for a course of action achieved by any Government—needs is an “injection of democracy”. The hon. Member for Pontypridd (Owen Smith) has suggested that Labour would amend any article 50 Bill to bring about a second referendum.",Conflict
"Last week’s ruling was not about overturning the referendum, but it did recognise that this issue will affect every man, woman and child in this country and that therefore their democratically elected representatives should have a role in making sure that the Government get the best deal for everybody. Without greater transparency, how can the Government provide the reassurance that they are representing not just 52% or 48%, but the whole country?",Moral Value
"My constituent Christopher voted to leave the European Union, but he told me:

“I did not vote to suspend the rule of law, nor to forgo the protection of Parliament as a bulwark against tyranny.”

Does the Secretary of State accept that people on both sides of the Brexit debate are appalled by the Government’s approach so far? Will he just get on and accept the judgment that was made last week?",Moral Value
"The third issue is the Government’s negotiating objectives, which we dwelt on to a great degree in the Secretary of State’s statement earlier today The truth is that we now know what the Government’s negotiating objectives are in relation to workers’ rights and employment protection, because those have been set out in the debate so far: we are going to move them into domestic legislation We therefore now know what the Government want to do on that We also now know what their negotiating approach is to the motor manufacturing industry, because of the commitments set out clearly to Nissan",Economic
"Therefore, it is perfectly legitimate for the rest of industry and our service sector—80% of our economy is services, and we have 1 million jobs at least in financial services—to ask, as I suspect they will, “So what are the Government’s objectives for our industry, our sector, our future, our concerns and the reassurance we are looking for?” I gently say to Ministers that I really do not think they are going to be able to sustain the position they are currently taking, which is to resist such requests in the face of what will be a growing queue of people who will be looking for facts, reassurance and a plan.",Economic
"“And let me be absolutely clear: existing workers’ legal rights will continue to be guaranteed in law – and they will be guaranteed as long as I am Prime Minister.”

That is a welcome start, but I remain concerned that the Government’s actions are not matching that rhetoric.

I am particularly concerned by a written answer given last week to a question from the hon. Member for Greenwich and Woolwich (Matthew Pennycook). When asked about the Government’s plans to give domestic effect to the agency workers directive through the so-called great repeal Bill, the Minister of State, Department for Exiting the European Union, the right hon. Member for Clwyd West (Mr Jones) ominously stated:

“The Bill will convert existing European Union law into domestic law, wherever practical.”

How does “wherever practical” fit with the cast-iron assurance given by the Prime Minister on this wider issue only weeks ago? What practical issues have the Government identified so far regarding giving domestic effect to these vital rights? Which of the protections that have been given to workers in the UK are now at threat due to these practical issues? Can the Minister set that out today?",Powerlessness
"So the Government can claim to be protecting employment rights derived in the EU, but they could, if they chose to, nibble away at those rights in the way I have outlined. I believe the temptation will be too great for many Government Members—I refer not to removing rights altogether but to significantly weakening them. Why do I say that? One has only to look at what members of the Cabinet have said in the past to get a flavour of where they are coming from. Although we have heard plenty about them tonight, these comments are so concerning that it is worth repeating a few again. Let us start at the top, because the Prime Minister, in an interview with HR magazine in March 2010, when she was shadow Work and Pensions Secretary, said:

“Issues we are particularly concerned about are the Working Time Directive…and the Agency Workers Directive.”

In 2012, the Foreign Secretary said that the UK should scrap the social chapter. Last year, he said that the Government should “weigh in” on all that “social chapter stuff”. He claimed that the weight of employment regulation was “back-breaking”. When the Secretary of State for Defence was Minister for Business and Enterprise, he said that the Government must

“turn the screws tighter on burdensome red tape”,",Conflict
"There are so many advantages to Brexit that I do not know where to begin, but one of them is that we will be able to provide state aid, which we are forbidden from doing at the moment. Has my right hon. Friend considered that particular area of support?",Economic
"Our mission now, as it was last year, is to ensure that everyone understands the risks of leaving universal credit as it stands. Although Brexit continues to dominate the headlines, we need to keep our Prime Minister’s vision of creating a Government that works for the “just managing” focused and equipped to deliver. We must demonstrate that we are not only a competent Conservative Government, but a compassionate Conservative Government. It is the detail that matters. It means going beyond the headline statistics and looking at the human detail—the cost, the names on the spreadsheets. It means getting to grips with the impact analysis of policy change.

Life is still very hard for families on low incomes. The high cost of accommodation, low wage growth, rising inflation—apart from today— and the cost of living mean that the transformation of our benefits/work system is not yet over. Brexit means that it may not be business as usual for quite some time; if anything, the economic volatility on the way means that things are about to get a whole lot harder—an estimated £1,000 a year in earnings harder, and that is before we even get on to talking about the cuts in universal credit.",Human Impact
"Again, that elitism is not based on evidence, because the 2017 university league tables put Oxford and Cambridge third and fourth. Imperial is first and the London School of Economics is second. Cardiff is fifth, and King’s, Warwick, University College London, Queen Mary and Edinburgh are in the top 10. May we have a statement on what will be available for the other universities that do not have the historic wealth of Oxford and Cambridge?

In a previous outing at the Dispatch Box, I asked for money for local government. Local government is in desperate need, but the money has now gone to unelected local enterprise partnerships rather than elected local authorities. The Minister responsible for the northern powerhouse, the hon. Member for Brigg and Goole (Andrew Percy), has said that areas with directly elected mayors will have the “main share of funding”—that is power in the hands of one person. May I draw the Leader of the House’s attention to another letter? It is from county councils, mainly of the same party as the Government, which have said that funding should not be made on an

“arbitrary prioritisation of specific governance models”.

Everyone on the Labour Benches agrees that money should flow according to need.",Powerlessness
My hon. Friend is absolutely right: this point is wider than just the issue of article 50; it goes right to the heart of the operation of the Crown prerogative.,None
Will the hon. Gentleman agree with UKIP’s long-standing policy by voting in favour of supporting the triggering of article 50 and leaving the European Union?,Conflict
"I am saying that people were misled, so basically now we are going to have another year of austerity.

On market access, everyone is talking about a hard Brexit. It is all very well Nissan, Tata and others being paid billions of pounds under the table to bribe them, to compensate for the tariffs they will inevitably face, but we will have to pay for that in the end, and we do not have proper market access.",Economic
"The charge against those of us who have proposed Labour’s motion is that we are all remoaners who are using parliamentary tricks to obstruct the progress of Britain’s departure from the EU. Even though the Government have now accepted our motion, we are accused of asking them to reveal too much, or of endangering their prospects of securing the best outcome. We have been told that there will be no running commentary. In her—as ever—excellent speech, my hon. Friend the Member for Lewisham East (Heidi Alexander) said that we need basic answers to basic questions. She raised questions that are uncomfortable for some, but that must be answered, and I applaud her for that.",Conflict
"My right hon. Friend is right that I made it clear once again that I hope the issue of EU citizens living here and UK citizens living in EU member states can be dealt with at an early stage of the negotiations. The other member states and the Council have been clear that they are not prepared to enter into negotiations before article 50 is triggered, but I will continue to remind them of our hope, for a very good reason: we want to give certainty and reassurance to people that this issue can be dealt with at a very early stage and then the people concerned can get on with their lives.",Human Impact
"In my speech, and when the Minister came before the European Scrutiny Committee, I referred to the question of the attitude to be adopted in relation to votes in the Council of Ministers. Will he give some indication as to the kind of trend towards being sure we make clear where we stand on Brexit matters within the framework of the decision-making process in COREPER?",None
Will the Secretary of State confirm what he said to in November that the Scottish Parliament will retain full responsibility over agriculture and fisheries following Brexit and that,None
"However, there is no guarantee that this will be achieved. There is no guarantee that the EU will be prepared to give us what it may well regard as the best of both worlds: free trade with Europe and the right to set our own common external tariff and to negotiate new trade deals. The Government may therefore be confronted down the line with a rather uncomfortable choice between remaining in the customs union and once again seeing tariffs and bureaucratic obstacles rising between British businesses and their largest market. What would be the consequences? One way to answer that question would be to look at the Government’s workings. In oral evidence to the Exiting the EU Committee, the Secretary of State said that the Department was

“in the midst of carrying out 57 sets of analyses, each of which has implications for individual parts of 85 per cent of the economy.”

In our report, we acknowledged that the Government were looking at different options for market access and said:

“In the interests of transparency, these should be published alongside the Government’s plan in so far as it does not compromise the Government’s negotiating hand.”",Economic
"The hon. Member for Cardiff North (Craig Williams) talked about roads, and we do have a great problem there. I am talking about the highway robbery of the Severn Bridge tolls. We have had 52 years of double taxation of local people, and that is set to continue. Perhaps the Welsh Assembly could look into that infrastructure project. It is an outrage that people are paying twice for the tolls: we pay our share of the national road scheme in Wales and the west of England, and we pay over again for the tolls.

It was accepted by this House, under the Severn Bridges Act 1992, that those charges should be in place for a certain period. That period will come to an end later this year or early next year, when the Severn bridges have the same status as every other piece of motorway in the rest of the United Kingdom, and should be treated as such. The cost of maintenance should be borne by national funding. That is an unquestionable argument in favour of the abolition of the tolls.",Economic
