chunk_text,openai_frame_classification
"I listened to my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) and I really think he wants to go back to a 1975-style referendum where the Government is used as an instrument of campaigning in what should be a fair fight. What is the point of having spending limits on the yes and no campaigns if Ministers can use the machinery of Government in an unrestricted way, which is what the abolition of purdah would mean?",Moral Value
"For example, a French person living in the UK who is married to a British person and has children at school, growing up, or at university in this country, will not be able to vote in the referendum. Someone from the Republic of Ireland, Malta or Cyprus will be able to vote, however, because Malta and Cyprus are in the Commonwealth, and Commonwealth citizens, along with British citizens, are able to vote in parliamentary elections. Because of our long-standing arrangements with the Irish Republic, even though it is not in the Commonwealth, citizens of the Republic of Ireland are able to vote in parliamentary elections and to stand for Parliament in this country. The measures in the Bill mean that we will exclude people who are settled with families in the UK, and who have a long-standing

relationship with this country, from voting on whether to wrench apart the UK from their European country, yet we will be allowing other people who are not British to vote in our referendum.",Human Impact
"4A For the purposes of paragraph 4 the exit day appointed must not be before the end of any transitional period agreed under Article 50 of the Treaty on the Functioning of the European Union.”

This amendment ensures that the right to obtain damages if the Government fails to uphold its obligations continues as long as the UK remains under the existing structure of rules and regulation.

Amendment 126, page 15, line 32, after “Rights” insert “or”.

This amendment is consequential on Amendment 62.

Amendment 127, page 15, line 33, leave out

“or the rule in Francovich”.

This amendment is consequential on Amendment 62.

Schedule 1 stand part.",uneindeutig
"Is the Prime Minister a good public servant? Yes. Does she work hard? Yes. Do I respect her? Yes—I respect anyone who devotes their life to public service. But is the Prime Minister a diplomat? Does she show warmth and empathy? Is she able to negotiate with the other 27 countries in the EU, in our interests? Clearly not. I do not trust our Prime Minister to represent our country and negotiate a deal that is in the best interests of the people of Colne Valley—my constituents—or our country.

For me, this is not just about whether we are in the EU or not; it is about the kind of society that I want my granddaughter to live in. Just before Christmas, my five-year-old granddaughter came into Parliament for the first time, and she loved it. Fast forward 30 years to when she is a grown woman—do I want her to inherit the world determined by this Government? No, I do not. I wonder how she will judge the Government’s handling of Brexit when she is a grown woman. I see it as a full-blown display of incompetence, focused purely on party interests, and as a failure to take strong action to protect jobs and the economy, workers’ rights, environmental protections and national security.",Human Impact
"The Union was on the ballot paper. No clearer campaign message came from the Scottish Conservatives than that, and it was wholeheartedly and comprehensively rejected by the people of Scotland. It would be wise of a so-called leader—one who aspires to statesmanship—to listen not just to those who voted for him, but those who voted against him, and to listen to the second largest member of this Union, which whole- heartedly rejected the manifesto that he put forward at the general election.",Conflict
May I invite my hon. Friend to think about how he would choose to spend part of the £350 million that we will save every week when we leave the European Union? Will he also confirm that there will be a big saving in translation services currently expended on foreign national offenders?,Economic
"The hon. Gentleman needs to remind himself that there was not a single seat in Wales where Labour did not lose votes at the last election. He needs to be a little careful—[Interruption.] With respect, he needs to be a little careful about making accusations, based on the political reality. The economic reality is that the people of Wales do not share his enthusiasm for defining the next stage of our post-covid and post-Brexit evolution purely in terms of political one-upmanship. They want to see jobs and investment, and that is what we intend to deliver.",Conflict
"The hon. Lady raises a good point. Milk production is a good example. Organics is a selected market; although a good number of people buy organics, there is a ceiling of around 10% of people who actually buy organics overall. Therefore, exporting organic food is as important as importing it. On the dairy side of organics, the big milk co-operative Omsco trades very successfully into the United States, but that has to be maintained—and we must have the certification, and all these other things must work, in order for that to happen. That is why we have to be very careful to ensure that we can trade successfully in a no-deal situation.",Economic
"Every delay and every bit of badly made fudge just intensifies the uncertainty for industry, with business investment being held back, jobs being lost and yet more jobs being putting at risk. The real life consequences of the Prime Minister’s cynical tactics are being felt across the country, with factories relocating abroad, jobs being lost and investment being cancelled. Thousands of workers at sites across Britain’s towns and cities are hearing rumours and fearing the worst. The responsibility for this lies exclusively with the Prime Minister and her Government’s shambolic handling of Brexit. Even now, with just one month to go before our legally enshrined exit date, the Prime Minister is not clear what she wants in renegotiations that have now dragged on since it became clear in December that her deal was not even backed by much of her own party, let alone Parliament or the country at large.",Human Impact
"When I say “rural communities,” believe it or not, I am talking about cities in Scotland. I am talking about areas of high population density because, as I say, we suffer postcode discrimination. For example, a constituent of mine was asked to pay an extra £90 to have a mobile phone delivered to Nairn. These protections are not being delivered by the UK Government now, so what hope do we have with this regulation disappearing? I have another good example of where the EU has been able to protect internally. A crash helmet can be delivered from London to Inverness for a £29 charge. The same item could be delivered from London to Croatia or Estonia for £9.99.

I fear that others across the nations of the UK will begin to experience some of the discrimination that we in Scotland have seen over a number of years, and not just in the highlands and islands but in the borders and across large parts of mainland Scotland, because they too will now be subject to these inequities, as other Members have admitted today in their contributions. It is a reprehensible situation.",Human Impact
"Like me, the right hon. Gentleman argued that we should leave the European Union, and I take seriously the case that he makes. I shall go on to say a little about the amendment tabled by my right hon. Friend the Member for Meriden (Dame Caroline Spelman), but we should all be clear about one thing: the only way in which to ensure that we take no deal off the table is either to revoke article 50, which would dishonour the mandate, or to deliver a deal. As the right hon. Gentleman knows, the deal that the Prime Minister put before the House last night, which sadly did not command a majority, allows us to leave the European Union in an orderly fashion, and in a way that honours our democratic mandate while also preserving our economic advantages. It is much to the regret of people outside the House that we were not able to command a consensus for it then.",Powerlessness
"I thank the hon. Gentleman for that very succinct comment. That is exactly the point. This should be about what are often called British values of fairness. If people have paid into a pension, they should get their entitlement with the annual uprating. There is no excuse for us not to do that. Why do we seem to have different classes of pensioners? It is morally unjust and truly unfair for the Government to strip pensioners of their right to equal state provision. Overseas pensioners are entitled to fairness. The state pension is a right, not a privilege.

I look forward to the Minister responding later in the debate, but I hope that we do not hear what we have heard before—that it is all about cost. It is about doing the right thing and recognising that all pensioners deserve to be treated fairly. We should focus today on the 550,000 pensioners who are losing out, but there is a topical dimension to this debate as well. What are the implications for the 400,000 UK pensioners living in EU countries if there is a Brexit vote in a few weeks’ time? In the other place, Baroness Altmann, responding on 3 March to a parliamentary question of 23 February, stated:",Moral Value
"Is it not the case that Her Majesty’s Government have always been frightened of an independent objective analysis of the costs and benefits of our membership, which explains why they were so worried about the answer to my hon. Friend’s question? Only today, we have heard the latest spin from Her Majesty’s Government that, were we to leave the European Union, the pound would fall and holidays would be more expensive for those going to Europe. I always thought it was the convention of Her Majesty’s Government, and in particular the Chancellor of the Exchequer, not to comment on the future direction of exchange rates, so does this not demonstrate that we are now in an era of spin because they are frightened of independent objective assessment?",Conflict
"A moment of honesty from the Tories, but what a statement that is—that young people are not going to benefit in the way that people on the Tory Benches did; that they will take that away from the generations yet to come.",Human Impact
"The central policy of the Government is now to deliver Brexit in October, including without a deal. As such, it is unclear whether the Prime Minister commands a majority in this House. Will he now do what the Leader of the Opposition will not do: prove his own political virility and table a motion of confidence for the House to vote on when we return?",Conflict
"(3) Subject as follows, if after the expiry of the 40-day period the draft regulations laid under sub-paragraph (1) are approved by a resolution of each House of Parliament, the Secretary of State may make regulations in the terms of the draft regulations.

(4) The procedure in sub-paragraphs (5) to (8) shall apply to the draft regulations instead of the procedure in sub-paragraph (3) if—

(a) either House of Parliament so resolves within the 30-day period, or

(b) a committee of either House charged with reporting on the draft regulations so recommends within the 30-day period and the House to which the recommendation is made does not by resolution reject the recommendation within that period.

(5) The Secretary of State must have regard to—

(a) any representations,

(b) any resolution of either House of Parliament, and

(c) any recommendations of a committee of either House of Parliament charged with reporting on the draft regulations, made during the 60-day period with regard to the draft regulations.

(6) If after the expiry of the 60-day period the draft regulations are approved by a resolution of each House of Parliament, the Secretary of State may make regulations in the terms of the draft regulations.",uneindeutig
"This Bill marks a really important step forward as we leave the inflexibilities of the common fisheries policy. It puts in place the framework necessary for the UK to operate as a responsible, independent coastal state. It allows us to ensure that we have sustainable fisheries to provide benefits for future generations.

The Bill’s fisheries objectives place sustainability front and centre. Six out of the eight objectives relate to protecting the environment. It is critical that we are able to balance those objectives as we need to. Additional quota we receive following the negotiations will be allocated in a new way, and I am pleased that two consultations on quota distribution were published today. That makes good our commitment in the 2018 White Paper, of which my Secretary of State is particularly proud, having put a lot of work into it himself.",Economic
"The simple truth, at the next election, is if you want an in/out referendum on Europe, the only way to get it will be by supporting the Conservative party. That is clear. There are two major parties in the House that oppose a referendum, and there is one that will stand for a referendum. We will put that to the people at the next election.

The Queen’s Speech does not duck the tough challenges. We need to get the deficit down, so we will complete a spending review by the end of June. We will legislate to abolish needless bureaucracy such as the Audit Commission. We will pass laws to raise revenue by stopping tax abuse. We need to restore our competitiveness, so the Queen’s Speech includes a deregulation Bill to cut business costs, and a national insurance Bill to cut taxes for small businesses. We will press ahead with our high-speed rail Bill so that we get the infrastructure we need. Our intellectual property Bill will give us an up-to-date system of patents, including a key part of the European patent court right here in London.",Economic
"I am glad the hon. Lady is pleased that she gets to spend her niece’s birthday with her when the House rises for Easter—that is excellent news. I am also delighted to join her in congratulating all those who won awards for their contribution to making our society a better place and in commemorating Harry Leslie Smith and Baroness Trumpington, both of whom made such a big impact in their contributions to society.

The hon. Lady asked about the recommendations of the Procedure Committee and whether the proposed business motion on the meaningful vote addresses them. I can say that, yes, that is the case, in so far as time constraints and practicalities allow in both Houses. The Procedure Committee recommended that amendments should be taken before the main motion is considered and that there should be a minimum of five full days for debate, both of which are happening. The House should be pleased about that.",uneindeutig
"Given the new Brexit Secretary’s on-the-record and public views on scrapping the agency workers directive and TUPE regulations, what confidence should my constituents have that these regulations will be maintained post Brexit?",Powerlessness
"Does my hon. Friend agree that the Bill is very much about preparing the way for when we leave the EU? When we talk about going forward with a global Britain, that is about seeking every opportunity we can to take our country forward.",Powerlessness
"A few moments ago, the Defence Secretary mentioned Typhoon and the advantages of international co-operation. Is this Government, post Brexit, prepared to have a clear strategy to say that co-operation across Europe is in the interests of defence jobs here in the United Kingdom?",Economic
"The weight of evidence regarding the damage that no deal would do to the nations of these islands is overwhelming. We all know that from the work we have done on Select Committees over the past few years—work that will not be happening in the next few weeks, when Parliament is prorogued. But still the Government will not tell us the truth about the assessments they have made of the impact of a no-deal Brexit and the preparations they are making for that. So it is right that this House seeks the documentation relating to Operation Yellowhammer.",Powerlessness
"Bearing in mind that the Leader of the Opposition has a reputation for meeting almost any organisation in the world, my constituents found it distasteful that he was not prepared to give up his time to meet the Prime Minister.

The House has given the Prime Minister instructions on a number of occasions. It has given the Government an instruction about holding a referendum and the date that we leave the European Union. Will she assure the House that she is doing her utmost to carry out those commands?",Conflict
"Owing to that and owing to the covid crisis—principally because of the covid crisis—we have some real pinch points in our economy right now. There are labour shortages across the economy; this is not just about HGV drivers. Almost every sector I speak to is having labour difficulties, not least in Thirsk and Malton. There are difficulties in some of our pig supply chains and our pig farmers are having real problems in getting the pigs off the farms and into the meat processing plants because there are shortages of some workers, who farmers would normally get from further afield. That is due to Brexit to a certain extent but is mainly down to covid.

The other big issue that we must confront and which we will be dealing with for some time yet is inflation. Predictions of inflation topping at 4% seem likely, so that will cause some pressure for people, particularly those on low incomes. Nevertheless, both issues—labour shortages and inflation—are short term and they will be resolved in time.",Economic
"It is a pleasure to follow the hon. Member for Lewisham East (Janet Daby). From my experience as a divorce lawyer before I came to this House, I can say that no divorce ever results in parties being better off financially immediately afterwards. That is the reality of the situation we are going to be in as we divorce ourselves from the European Union.

There has been a compelling analysis during this debate from my right hon. Friends the Members for Haltemprice and Howden (Mr Davis) and for Clwyd West (Mr Jones). I wish to associate myself with that analysis. During the past two years, it has been a privilege to serve on the Select Committee on Exiting the European Union. As you will know, Mr Speaker, that is one of the largest Select Committees and contains representatives of five different parties in this House. I can say that the membership of that Committee is overwhelmingly against this deal.

The feeling also applies in my constituency, where the deal is anathema. Tom Blyth, who runs the Christchurch Conservative political forum, has succinctly described the problem. He says that his membership is dispirited by the",Conflict
"One measure that could have helped was the timely delivery of the haulier handbook. I gather that the launch date for the full version, which is intended to provide clear guidance to drivers, is now set for 7 December —only 25 days before the end of transition. Given that 85% of freight drivers are from the EU, the document will need to be published, translated and promoted across most of the continent in around three weeks, which includes the breaks for Christmas and new year. I understand that it will need to be translated into 14 languages.

Hauliers also face uncertainty about the use of the proposed fixed penalties for drivers who do not have a Kent access permit. Unite has expressed concerns about how they will work, because it is the driver who will be faced with paying a roadside fine if they do not have the correct documentation, but they rely on the employer or customer to provide it. I was a little confused by what the Minister said just now. I think she confirmed that the penalties would be roadside fines, but when she gave evidence in the other place this morning, she said that because the fine was levied on the owner, it could be sent by post. Perhaps she could give some clarity as to how those penalties will work.",Human Impact
"It was noticeable that the Secretary of State talked very little about the workforce in the speech we have just heard, although he spoke about many other things. I want to confine my remarks to the workforce, staff wellbeing and their pay.

Let us recognise, first, the impact on the NHS and staff of not just decisions made in this place on the economy, but of Brexit—that cannot be ignored. For example, the director of the CBI has called on the UK to use immigration to solve worker shortages. The Secretary of State did touch on that, but we really need assurances about the work being done between the Department of Health and Social Care and the Home Office to resolve the many visa issues that the Royal College of GPs had outlined, as other Members have said. According to that research, 17% of international graduates are considering leaving the UK altogether as a result of the challenges they are facing within those visa processes.

Research by the Nuffield Trust has revealed that Brexit has worsened the UK’s acute shortages of doctors in key areas of care and led to more than 4,000 European doctors choosing not to work in the NHS in the UK. Martha McCarey, the lead author of that Nuffield Trust analysis, has said:",Human Impact
"That the draft Protecting against the Effects of Extraterritorial Application of Third Country Legislation (Amendment) (EU Exit) Regulations 2019, which were laid before this House on 7 March, be approved.",uneindeutig
"Did the Prime Minister discuss his plans for an EU referendum at the European Council? He may find an in/out referendum undesirable, but I find his in/in referendum equally unacceptable. Only an in/out referendum will do for the British people and it would be very much in the Prime Minister’s best interests if he stopped resisting it.",Conflict
"As hon. Members will be aware, we have reached a reciprocal agreement with the EU that safeguards the rights of EU citizens in the UK and the rights of UK nationals in the EU. This agreement, highlighted green in the withdrawal agreement, means that citizens who are resident before the end of the implementation period will be able to continue living their lives broadly as they do now. The Government are now focusing on the successful domestic implementation of this agreement, and we are seeking further details on the steps that member states are taking to protect the status of UK nationals resident in the EU.",Human Impact
"Nevertheless, I am glad to be here and I am delighted to see the Foreign Secretary in his place for the first time this year, safely returned from his recess travels and basking in the success of his new vision for post-Brexit Britain, which he unveiled in Singapore, namely that we are to become the “invisible chain” linking countries across the globe. It is a truly inspiring phrase, but colleagues may not realise that the inspiration has an unlikely source, because the phrase, “The Invisible Chain”, first originated as the Spanish language title of the 1943 film, “Lassie Come Home”. It is a beloved children’s classic: the story of a desperate family who are down to their lowest ebb, with no answers to their problems, but whose fortunes are rescued at the last moment by the return of their beloved dog. Here is the truth: the Cabinet is not waiting for unicorns to come riding over the hill; it is just waiting for Lassie.",uneindeutig
"I am sure that my hon. Friend is aware that the competition will be open and fair. I cannot comment on individual bids, but I am sure that he will make his voice heard. It is right that from autumn 2019 we will issue new blue and gold passports, which have always been the UK’s colours of choice for our passports. It is absolutely right that after we leave the European Union, we return to deciding the colour of passports that we want, not that the European Union wants.",Moral Value
"Just because there will be more EU Commissioners, it does not mean that the expenditure incurred by them should increase pro rata. The amendment does not ask for any real-terms reduction in the total spent on EU Commissioners, but it suggests that the total amount spent at the moment should be redistributed among the 28 or 29 Commissioners.",Economic
"My new clause does not specify which of those the Government should seek to do, but it sets out three clear options that could be vital in keeping order and stability in the weeks and months before exit day. Let me be clear also that this is not about an unnecessary extension of the process; it is about allowing provision for and clarity on the circumstances in which it may be called upon, most likely for a short period of months. That can only be helpful in managing the risks of Brexit, particularly in the event that a deal is well under way but has not been finalised. It would certainly not be against the spirit of the referendum result, and at the time could precisely be in the national interest.

I do not believe that in truth this approach should be any great distance from Government policy, and it simply picks up on paragraph 3 of article 50, which states:

“The Treaties shall cease to apply to the State in question from the date of entry into force of the withdrawal agreement or, failing that, two years after the notification referred to in paragraph 2, unless the European Council, in agreement with the Member State concerned, unanimously decides to extend this period.”",uneindeutig
"May I take this opportunity to congratulate my hon. Friend as we approach the end of this Bill on the incredibly gallant and diligent work he and his colleagues have done in attempting to investigate and scrutinise this legislation? It is tremendously sad that the Government have, in the minds of many people who voted leave, successfully brought forward the idea that any kind of scrutiny and any kind of amendment to their legislation is somehow disrespecting that mandate, as though whatever the Government say is what that vote back in 2016 meant. I accept that we are leaving the EU and I think we need to get on with that process, but it is extremely regrettable that under the guise of taking back control they have sought to disrespect parliamentary scrutiny in the way that they have done, and this will have serious consequences for us in the future.",Powerlessness
"We are told that the referendum somehow overrides the centuries-old tradition of parliamentary accountability. I will not comment on the pathetically low level of debate, as reported in the national media, on both sides during the referendum campaign. My right hon. Friend the Secretary of State for Brexit no more adopted some of the dafter and dishonest arguments on his side than I think I did on mine, but serious arguments were not reported. More to the point, the public voted by a majority to leave the EU. They did not vote for anything on the subject of replacements for the EU; it was not even raised in debate. These choices that Ministers are now struggling with, and for which they should be accountable to us, would have been a mystery to 99% of the people who listened to the debate and voted in the referendum. The issue of whether we should be in the customs union, and the consequences one way or the other, was not decided by the referendum. Brexiteers in the Government do not even agree with each other on the path they should now follow. We should go back to parliamentary democracy and accountability to this House.",Conflict
"I will be quite honest: I have struggled with this ever since June. It has been my long-held belief that our country—our nation—is considerably better off as a member of the European Union. I have spoken about that at length. I am a firm remainer. If there was a scale from one to 100 showing how firm a remainer someone was, I would put my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) at 100 and myself at about 95. I have grappled with my own long-held views, which I hold passionately, and with the fact that when I stood up and addressed my constituents, wrote my email newsletter or went out into the streets of Broxtowe and beyond, I said, “If you vote leave, you will get leave.” One colleague—it might have been my right hon. Friend the Member for Wokingham (John Redwood)— said that we in the remain camp were very clear about that.",Human Impact
"(4) Each review shall be conducted by a credible body independent of government and shall include both qualitative and quantitative assessments of the impacts of the agreement, including as a minimum—

(a) the economic impacts on individual sectors of the economy, including, but not restricted to—

(i) the impacts on the quantity and quality of employment,

(ii) the various regional impacts across the different parts of the UK,

(iii) the impacts on small and medium-sized enterprises, and

(iv) the impacts on vulnerable economic groups;

(b) the social impacts, including but not restricted to—

(i) the impacts on public services, wages, labour standards, social dialogue, health and safety at work, public health, food safety, social protection, consumer protection and information, and

(ii) the government’s duties under the Equality Act 2010;

(c) the impacts on human rights, including but not restricted to—

(i) workers’ rights,

(ii) women’s rights,

(iii) cultural rights and

(iv) all UK obligations under international human rights law;

(d) the impacts on the environment, including but not restricted to—

(i) the need to protect and preserve the oceans,

(ii) biodiversity,

(iii) the rural environment and air quality, and",uneindeutig
"On funding, to make sure that we have a campaign that is fair and perceived to be fair, we need to avoid the European Union itself spending any money or putting forward any propaganda during the campaign period. We also need to make sure that the spending limits on the political parties and the two main campaign teams are fair. I have no problem if one side raises more money than the other within the limits and is able to use it—that is the advantage of being more popular and that is the system we use. However, it is also fair to have some overall limit, as the Government are proposing. We need to be careful that the cumulative limits between different political parties and actors on one side do not become disproportionate, with the other side limited in the amount it can raise so that the thing is out of balance.",Moral Value
"I want to say something about the environment in which the putative negotiations would be conducted, because it is crucial to understand how difficult the discussion would be.",uneindeutig
"I am concerned that EU citizens living in the UK have to undergo a two-stage process to vote in the European elections. Even if they are already registered to vote in the local elections next Thursday, they are separately required, unlike UK nationals, to complete an additional form to vote in the European elections three weeks later. That added layer of administration is rightly designed to prevent EU citizens from voting twice. However, the Cabinet Office has also inferred that preferential status must not be conferred to EU citizens in the process. That scenario only really applies when the EU registers are open, but there is no uniformity among EU member states. Indeed, the majority of EU registers have now closed.",uneindeutig
"The Government agree with the concerns that were raised in the other place that this harm may in part stem from an asymmetry of information between financial services firms and their customers. The risk is that many firms may seek to exploit this asymmetry. The FCA is well aware of how informational asymmetries and behavioural biases can influence consumer behaviour, and is committed to ensuring that these issues are addressed where it considers that they may result in harm. The Government therefore support the FCA’s ongoing programme of work in this area and believe that it will deliver meaningful change for the benefit of consumers.",Economic
"Since shortly after being elected to this House, I have served on the Business, Energy and Industrial Strategy Committee. Its latest report revisited evidence we had received 12 months earlier from businesses in strategically critical sectors of the UK economy—automotive, aerospace, pharmaceutical, and food and drink. We collected evidence on their response to the withdrawal agreement, and as we make clear in the report’s conclusion, while they would have preferred to have stuck with the status quo, they now need clarity and certainty, and for that reason, their consistent message to the Committee, and to the House through the report, is that we should support the withdrawal agreement. They were also very respectful of our democracy and accepted the result of the June 2016 referendum—something that so many in this House seem unprepared to do. These business leaders were prepared to accept that result, and they were actively seeking to apply a pragmatic approach to an undoubtedly complex set of problems. It is now for us parliamentarians to be pragmatic and deliver the certainty that businesses need, and we do that by supporting the withdrawal agreement.",Economic
"On trade and inward investment, being a member of the EU means that Scotland’s businesses are operating within the world’s largest trading area of 500 million potential customers. The EU single market is eight times bigger than the UK’s alone. Moreover, trade with EU countries is becoming more important for Scotland. Since 2007, Scottish exports to the EU have grown by more than 25% to more than £12 billion in 2015. Although some steps are welcome, including the creation of an inward investment strategy, the mechanisms offered to overcome the challenges do not go far enough to alleviate the threat posed by the loss of EU single market membership and the trading partners that come with it. The Government must stop their reliance on rhetoric about trade and investment needs, take action to acknowledge the industry’s concerns and work constructively with the Scottish Government to maximise inward investment as part of a genuinely co-operative approach.",Economic
"That the Customs Tariff (Establishment) (EU Exit) (Amendment) (No. 2) Regulations 2021 (SI 2021, No. 661), dated 9 June 2021, a copy of which was laid before this House on 9 June, be approved.",uneindeutig
"In fact, there has not been the suggestion that the arrangements in the backstop are unworkable. What there has been in the discussions with the European Union is an acceptance of the desire to discuss those alternative arrangements, work on them, and have them in place such that, were it the case that we ended the implementation period without the future relationship in place and that insurance policy for no hard border in Northern Ireland was necessary, we would have the alternative arrangements to put in place, rather than the backstop as it is currently within the withdrawal agreement. One of the key issues raised by the European Union around the alternative arrangements actually relates to the significant number of derogations from European Union law that will be necessary to put the alternative arrangements in place.",uneindeutig
"Last year’s vote to leave the EU can be analysed in a number of ways, but the Chancellor is right to say that the British people did not vote to make themselves poorer, which is why our economic interests must be at the heart of our approach to the negotiations. We need a strong economy in order to invest in education, other local services and our NHS, and to maintain fiscal responsibility. If we are to fall into World Trade Organisation rules, we are very likely to see extremely difficult economic circumstances. Even if we manage to secure a free trade agreement within the two-year period ahead, we risk major shocks to the economy if we do not negotiate an appropriate transitional arrangement.

The importance of providing certainty to business was rightly mentioned in the Queen’s Speech. Whether it be access to markets across the EU, having confidence to invest or the ability to recruit skilled workers, giving business more time to prepare for the significant shift in the economic landscape will give greater stability. It will allow us to retain a close relationship with Europe, with frictionless trade, while we seek to find those new trade deals that others are so optimistic will appear.",Economic
"I rise to give the Government my wholehearted support.

It is a pleasure to welcome you to the Chair, Madam Deputy Speaker, and it is a joy to follow two new Members whose constituencies I know well. In the run-up to the 2010 election, I spent plenty of time in Sutton and Cheam and I listened very carefully to the maiden speech by my hon. Friend the Member for Sutton and Cheam (Paul Scully). I particularly congratulate him on making his speech on the basis of light notes only. Like him, I know what it is to stand up and make a maiden speech when the time limit is short. I congratulate him on the grace and flexibility with which he made his speech.

I remember my time in the RAF at Grantown-on-Spey very fondly, exhausting myself running around the beautiful constituency of the hon. Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry). He made a noble and bold speech, and I congratulate him on coping with a shortened time limit. I am sure both Members will be steadfast defenders of their constituents. I wish them both very well indeed.",uneindeutig
"The Tory UK Government have refused to provide assurances about matching the current level of funding, but they have also failed clearly to explain what will happen about any future trade rules for farmers. The right hon. Member for Clwyd West (Mr Jones) stated that NFU Cymru supported the retention of a common framework for agriculture, but decisions made in Westminster would most definitely not reflect the needs of the devolved nations, particularly of sheep farmers in Wales. There has been no mention, either, of how any support there is for farmers will be distributed between the devolved Administrations.",Powerlessness
"It is surely obvious to everyone that sanctions regimes are effective only when they are co-ordinated internationally, as the Foreign Secretary acknowledged, and we need maximum support across the world and agreed implementation mechanisms to enforce them. However, he did not really answer some of the questions as to how that is going to be done post Brexit. Half our sanctions emanate from the EU. I am not saying that this is necessarily a matter for legislation, but surely the Government should have a plan for how we are going to be involved in EU decision making on sanctions regimes and the implementation of those regimes. Ukraine is a good example of where that is needed. What specific plans has the Foreign Secretary developed for a framework to provide for continued co-operation with the EU on foreign policy issues after we leave? What discussions have been held on that particular issue in the Brexit talks? What are the Government seeking to achieve in their negotiations with the EU on that matter? We were warned last week by the three spy chiefs that, without co-operation with our EU partners in intelligence sharing, policing and judicial matters, it would be difficult to enforce compliance on sanctions, which are vital for dealing with terrorism and proliferation.",Powerlessness
"We have heard some excellent contributions today, with important points being made on both sides of the House, and I will refer to as many of them as I can in the time available. As many Members have suggested, this is sadly a complacent Budget, and that accusation came not only from the Opposition during this debate. That complacency was perhaps at starkest in the Chancellor’s assessment of our country’s economic health, and I was surprised to hear that repeated by the Secretary of State for Business, Energy and Industrial Strategy. He is usually a stickler for detail, but he seemed to suggest this afternoon that the estimates underlying the Government’s plans could be revised upwards if a good deal was done with the EU. However, those estimates already presuppose that a deal along the lines advocated by his Prime Minister will be struck with the EU, a fact which is obviously being challenged by many Conservative Back Benchers. Such hubris is reckless in the extreme.",Conflict
There are concerns among those involved in agriculture in my area about whether there will continue to be appropriate access to workforce when we leave the European Union. What are the Government doing to ensure that that will be the case?,Human Impact
"I think I am right in saying that on two occasions I voted alongside the Prime Minister against those deals.

I understand that Members on both sides of the House are under a great deal of pressure in what is, regrettably, an extremely volatile political climate, but if you truly trust in what all the analysis shows—including the Government’s own analysis, as was demonstrated earlier—if you believe in what the experts say and if you understand that a no-deal Brexit will be a disaster for this country, you must act now.

With that in mind, I pay tribute to those who have shown the political courage to boldly stand up for what they believe in by bringing this debate to the House. The bullying and the threats to Conservative Members from their own side is unprecedented, but let me offer some words of encouragement. [Interruption.] It is all right; I am trying to help. Standing by your principles does not always damage your future prospects.",Moral Value
"The Secretary of State for Exiting the European Union urged us to vote for the Bill, and said:

“Providing certainty and stability in the lead up to our withdrawal is a key priority. Businesses and individuals need reassurance that there will be no unexpected changes to our laws after exit day and that is exactly what the repeal Bill provides.”",Economic
"I understand the hon. Lady’s concerns, and I can assure her that the Government will return with the meaningful vote once the Prime Minister has addressed the concerns expressed by hon. Members right across the House. It is simply not right to say the Government are looking at Conservative party interests. The Government are looking at delivering on the will of the people expressed in the referendum in 2016, where a significant number of people voted to leave the European Union. That is the absolutely essential task of this Government in bringing back this meaningful vote.",Powerlessness
"What a difference we heard in the contributions from Conservative Members. My right hon. Friend the Member for Witham (Priti Patel) set out a bold plan—a vision for economic renewal as we leave the EU. My right hon. Friend the Member for Wokingham (John Redwood) invoked the legacy of Margaret Thatcher, going further than she ever went, exhorting us to take advantage of the opportunities presented by Brexit. We believe that Brexit will not determine the future of this country—rather, it is about the choices we make next. We are going to ensure that those choices are the right ones and that they are pro-innovation and pro-growth.

What infectious enthusiasm my hon. Friend the Member for Clacton (Giles Watling) shows for his constituency. What a difference a Conservative representative makes. I knew I was making a good investment in Clacton when I went there to support him in 2014. I am afraid it took him a little longer to come to this place, but we in the Conservative party believe in making long-term rather than short-term investment. He could not be a member of the class of 2014, but he did get in a few years later.",Economic
"Everyone who speaks in this debate, and those watching in fishing communities around the UK, are keenly aware that Parliament will soon review the proposed EU withdrawal agreement, the impact on fisheries of which is not insignificant. It is therefore difficult to discuss the Bill without referring to the withdrawal agreement, the outline political declaration, or any new future fisheries agreement. I am very much aware of concerns expressed by fishing interests in my constituency and beyond. I have been reviewing the text of the agreement, as well as taking on board input from members of the fishing community, industry representatives and trade bodies, among a host of various stakeholders. My Scottish Conservative colleagues and I have made our position clear to the Government, and we look forward to working with Ministers to find a resolution to the range of concerns raised.

The variety of concerns can be summed up in two words: timings and leverage. On timings, we will leave the EU in March 2019, and when we do so, we leave the common fisheries policy. That is not a political decision, but a matter of legality—we cannot be in the CFP if we are not in the EU. Likewise, we cannot be in the EU, which would be the position of Opposition Members, and not in the CFP.",Human Impact
